Asesor,Matricula,Nombre,Carrera,
Srinivasan@gmail.com,244158,Miguel,Ingeniería Mecatrónica,
Wu@gmail.com,255389,Omar,Ingeniería en Sistemas y Gráficas Computacionales,
Mozart@gmail.com,251252,Felipe,Arquitectura,
Einstein@gmail.com,213584,Diego,Derecho,
Gold@gmail.com,223658,Daniel,Pedagogía,
Katz@gmail.com,211635,Braulio,Psicopedagogía,
Califieri@gmail.com,212158,Esteban,Comunicación y Creación Audiovisual,
Singh@gmail.com,233548,Carlos,Administración y Negocios Internacionales,
Crick@gmail.com,225898,Rodrigo,Talent Management,
Brandt@gmail.com,213587,Arturo,Contaduría,
Kim@gmail.com,213358,Jose,Dirección de Negocios Gastronómicos,
